bmj-0-0,karen born,assistant professor,university of toronto
bmj-0-1,emma brown,lawyer (patient reviewer),na
bmj-0-2,madhan balasubramanian,sidney sax nhmrc research fellow,university of sydney & kings college london
bmj-10-0,jon deeks,professor of biostatistics,university of birmingham
bmj-100-0,jane cottingham,independent consultant,none
bmj-100-1,pascale allotey,director,unu-iigh
bmj-100-2,luca berro pizzarossa,researcher,"university of groningen, global health law centre"
bmj-100-3,sheherezade kara,human rights consultant,independent
bmj-100-4,cecilia chung,senior director of strategic initiatives and evaluation,transgender law center
bmj-102-0,"dean a. seehusen, md, mph",associate dean for graduate medical education,the medical college of georgia at augusta university
bmj-102-1,eric sun,assistant professor,stanford university
bmj-102-2,thomas rapp,associate professor,universit paris descartes
bmj-102-3,richard l barger jr,clinical assistant professor of radiology,university hospitals of cleveland
bmj-103-0,roger e thomas,emeritus professor of family medicine,university of calgary
bmj-103-1,ke rtqvist,associate professor,karolinska institutet
bmj-103-2,meredith mcmorrow,influenza program director,cdc-south africa
bmj-106-0,suzie bailey,director of leadership & organisational development,the king's fund
bmj-106-1,aled jones,reader in patient safety & healthcare quality,cardiff university
bmj-107-0,simon pearce,prof. of endocrinology,newcastle university
bmj-107-1,dr trevor a howlett,emeritus consultant physician and endocrinologist,leicester royal infirmary
bmj-107-2,scott wilkes,"head, school of medicine & professor of general practice and primary care",university of sunderland
bmj-107-3,amanda brewster,chair,happi (healthier ageing patient & public involvement) group
bmj-108-0,dorothy becker,prof pediatrics,childrens hopital and university of pittsburgh
bmj-108-1,lotte klim,ux & patient engagement consultant,patientpartners
bmj-108-2,ki-ho song,professor,the catholic university of korea
bmj-108-3,giuseppe pugliese,professor of endocrinology,"sapienza university, rome, italy"
bmj-108-4,jamie kirkham,md,university of liverpool
bmj-109-0,peter green,retired,ex-nhs business services authority
bmj-109-1,paul j. rosch,clinical professor of medicine,new york medical college
bmj-109-2,mats lekander,professor,karolinska institutet
bmj-11-0,angie wade,professor of medical statistics,university college london
bmj-110-0,colin angus,senior research fellow,university of sheffield
bmj-110-1,michael f jacobson,senior scientist,center for science in the public interest
bmj-110-2,yeyi zhu,research scientist; assistant adjunct professor,"kaiser permanente northern california division of research; university of california, san"
bmj-112-0,wu yihua,associate professor,"zhejiang university, china"
bmj-112-2,roberd m. bostick,professor,emory university
bmj-113-0,masamitsu kamada,assistant professor,the university of tokyo
bmj-113-1,paullee,assistant professor,hong kong polytechnic university
bmj-113-2,jochen klenk,professor,institute of epidemiology and medical biometry
bmj-113-3,jungwha lee,association professor,northwestern university
bmj-113-4,rafael perera,professor of medical statistics,university of oxford
bmj-114-0,chris maher,professor,the university of sydney
bmj-114-1,bart koes,professor of general practice,erasmus mc
bmj-114-2,michele curatolo,prof.,university of washington
bmj-114-3,trudy bekkering,researcher,"academic center of general practice, ku leuven"
bmj-114-4,robert j. nisbet,expert by experience,none
bmj-114-5,baogan peng,"spinal surgeon, professor, chairman","general hospital of armed police force, beijing, china"
bmj-114-6,alessandro chiarotto,post-doctoral researcher,"department of general practice, erasmus mc, university medical center"
bmj-114-7,nadine foster,nihr professor of musculoskeletal health in primary care,research institute for primary care and health sciences
bmj-114-8,steven atlas,"director, practice-based research & quality improvement",massachusetts general hospital
bmj-115-0,chris maher,professor,the university of sydney
bmj-115-1,bart koes,professor of general practice,erasmus mc
bmj-115-2,michele curatolo,prof.,university of washington
bmj-115-3,trudy bekkering,researcher,"academic center of general practice, ku leuven"
bmj-115-4,robert j. nisbet,expert by experience,none
bmj-115-5,baogan peng,"spinal surgeon, professor, chairman","general hospital of armed police force, beijing, china"
bmj-115-6,alessandro chiarotto,post-doctoral researcher,"department of general practice, erasmus mc, university medical center"
bmj-115-7,nadine foster,nihr professor of musculoskeletal health in primary care,research institute for primary care and health sciences
bmj-115-8,steven atlas,"director, practice-based research & quality improvement",massachusetts general hospital
bmj-116-0,arne astrup,"head of department, professor, md, dmsc",university of copenhagen
bmj-116-1,sonia blanco mejia,senior research associate,st michael's hospital
bmj-116-2,gang liu,research associate,harvard t.h. chan school of public health
bmj-116-3,angie wade,professor of medical statistics,ucl gos institute of child health
bmj-119-0,"jeff rabin, od, ms, phd","asst dean, professor",uiw rosenberg school of optometry
bmj-119-1,carlo agostoni,professor,"department of clinical sciences and community health, university of milan,"
bmj-119-2,joshua jeong,postdoctoral fellow,harvard t.h. chan school of public health
bmj-121-0,mario gaudino,professor of cardiothoracic surgery,cornell medicine
bmj-121-1,saurav chatterjee,"staff interventional cardiologist, assistant professor of medicine",hoffman heart institute of the saint francis hospital and medical center
bmj-121-2,ahran arnold,clinical research fellow in cardiology,imperial college london
bmj-121-3,dhaval kolte,interventional cardiology fellow,"massachusetts general hospital, boston, ma"
bmj-121-4,morten rix hansen,"md, ph.d.","aarhus university hospital, clinical pharmacology"
bmj-121-5,dr amit kaura,nihr academic clinical fellow in cardiology / specialist registrar in cardiology,imperial college london / imperial college healthcare nhs trust
bmj-122-0,jonathan chick,medical director,castle craig hospital
bmj-122-1,douglas cameron,senior lecturer (retired) university fellow,university of leicester
bmj-122-2,heng jiang,research fellow,la trobe university
bmj-122-3,john mooney,senior lecturer in public health,university of sunderland
bmj-123-0,tim cole,professor of medical statistics,ucl great ormond street institute of child health
bmj-123-1,ian douglas cooke,emeritus professor,university of sheffield
bmj-124-0,jamie kirkham,professor of biostatstics,university of manchester
bmj-125-0,tobias kurth,epidemiologist,"charit, berlin"
bmj-126-0,david friedlander,research fellow,brigham and women's hospital
bmj-126-1,hao zeng,prof.,"department of urology, west china hospital, sichuan university"
bmj-126-2,akshay sood,senior resident,henry ford hospital
bmj-126-3,fabrizio dal moro,associate professor,university of udine
bmj-126-4,richard riley,professor of biostatistics,keele university
bmj-127-0,ian mcdowell,senior lecturer and consultant,cardiff university school of medicicine
bmj-127-1,tim cole,professor of medical statistics,ucl great ormond street institute of child health
bmj-128-0,andy oxman,research director,norwegian institute of public health
bmj-128-1,bennett holman,assistant professor of history and philosophy of science,yonsei university
bmj-129-0,adrian rabe,honorary research fellow,imperial college london
bmj-129-1,kate harrison brennan,ceo,anglican deaconess ministries
bmj-129-2,y-ling chi,technical advisor,imperial college london
bmj-129-4,mengcen qian,assistant professor,fudan univeristy school of public health
bmj-129-5,itamar megiddo,"chancellor's fellow, lecturer",university of strathclyde
bmj-129-6,katherine kenny,research fellow,university of new south wales
bmj-129-7,jian li,associate professor,chinese academy of medical science & peking union medical college
bmj-13-0,tim cole,professor of medical statistics,ucl great ormond street institute of child health
bmj-130-0,stephen jan,xx,george institute for global health
bmj-130-1,beatriz gonzalez lopez-valcarcel,professor,"university of las palmas de gran canaria, spain"
bmj-130-2,jeffrey todd kullgren,research scientist and assistant professor of internal medicine,va ann arbor healthcare system and university of michigan
bmj-131-0,david ellwood,"dean of medicine, and professor of obstetrics & gynaecology","griffith university school of medicine, queensland, australia"
bmj-131-1,giulia ottaviani,"md, phd",universit degli studi di milano
bmj-131-2,dominique heinke,postdoctoral fellow,massachusetts department of public health
bmj-131-3,alexander heazell,professor of obstetrics,"university of manchester, uk"
bmj-131-4,miranda davies-tuck,perinatal epidemiologist,hudson institute of medical research
bmj-131-5,karla hemming,statistician,birmingham
bmj-132-0,dr sarah markham,visiting researcher,king's college london
bmj-134-0,charlotte cookson,patient and public reviewer,na
bmj-134-3,matthew w. gillman,"director, environmental influences on child health outcomes program",us national institutes of health
bmj-134-4,nathalie auger,physician-epidemiologist,university of montreal
bmj-134-5,richard riley,professor of biostatistics,keele university
bmj-135-0,tim cole,professor of medical statistics,ucl great ormond street institute of child health
bmj-136-0,steven e. nissen md,"chair, department of cardiovascular medicine",cleveland clinic
bmj-136-1,han gao,physician,shanghai municipal hospital of traditional chinese medicine
bmj-136-2,john roberts,reviewer,bmj
bmj-136-3,richard riley,professor of biostatistics,keele university
bmj-138-0,marina cuttini,md,"pediatric hospital bambino ges, roma"
bmj-138-1,wally carlo md,"professor, director",university of alabama at birmingham
bmj-138-2,julie m. petersen,statistical analyst,boston university school of public health
bmj-139-0,nicholas mays,professor of health policy,london school of hygiene and tropical medicine
bmj-139-1,zach hong,research assistant,university of calgary
bmj-139-2,anupam jena,ruth l. newhouse associate professor,harvard medical school
bmj-14-0,avivit cahn,physician,hadassah hebrew university hospital
bmj-14-1,steven smith,assistant professor,university of florida
bmj-14-2,girish n nadkarni,assistant professor,icahn school of medicine at mount sinai
bmj-140-0,masao iwagami,assistant professor,"london school of hygiene and tropical medicine, university of tsukuba"
bmj-140-1,joe eustace,director,hrb clinical research facility - university college cork
bmj-140-2,christina bradshaw,clinical instructor,stanford university
bmj-142-1,charles clift,senior consulting fellow,chatham house
bmj-142-2,jeremy youde,"dean, college of liberal arts",university of minnesota duluth
bmj-142-3,felix stein,postdoctoral researcher,university of edinburgh
bmj-142-4,katie harron,associate professor in statistics,ucl
bmj-142-5,anne roemer-mahler,associate professor,university of sussex
bmj-143-1,joel ernst,professor,ucsf
bmj-143-2,jon emery,research fellow,london school of hygeine and tropical medicine
bmj-144-0,mark fox,professor of gastroenterology,"university of zrich, klinik arlesheim"
bmj-144-1,paul moayyedi,professor of gastroenterology,mcmaster university
bmj-144-2,brendan delaney,professor of medical informatics and decision making,imperial college london
bmj-144-3,su youn nam,professor,kyungpook national university hospital
bmj-144-4,richard riley,professor of biostatistics,keele university
bmj-148-0,danny van leeuwen,person,health hats
bmj-148-1,sevil yasar,associate professor,"johns hopkins university, school of medicine"
bmj-148-2,daniela anker,phd student in epidemiology and public health,university of bern
bmj-149-0,gareth hollands,senior research associate,"behaviour and health research unit, university of cambridge"
bmj-149-1,anneke lucassen,professor of clinical genetics,university of southampton
bmj-150-0,bhaven sampat,associate professor,columbia university
bmj-151-0,kathryn bradbury,senior research fellow,university of auckland
bmj-152-0,gabriel van duinen,peer assisted learning facilitator (patient reviewer),macquarie university
bmj-152-2,qian di,assistant professor,tsinghua university
bmj-152-3,brooke anderson,assistant professor,colorado state university
bmj-152-4,dan crouse,research associate,university of new brunswick
bmj-152-5,hugh ross anderson,emeritus professor of epidemiology and public health,"st george's, university of london"
bmj-152-6,dr suzanne bartington,clinical research fellow,university of birmingham
bmj-152-7,michael brauer,professor,the university of british columbia
bmj-153-0,yangbo sun,postdoctoral research scholar,university of iowa
bmj-153-1,idem bozkir,"lecturer/dietitian, phd",tekirda namk kemal university
bmj-153-2,pollyanna patriota,assistant professor,federal university of triangulo mineiro
bmj-153-3,punam ohri-vachaspati,professor,arizona state university
bmj-153-4,pierre traissac,senior epidemiologist / biostatistician,"ird, ""french national research institute for sustainable development"", ""foods"
bmj-153-5,julia wolfson,assistant professor,university of michigan
bmj-153-6,carmen piernas,senior researcher,university of oxford
bmj-154-0,manvi sharma,assistant professor,university of mississippi
bmj-155-0,wendy o'meara,associate professor,duke university
bmj-155-1,rebecca chandler,research physician,uppsala monitoring centre
bmj-155-2,adrian hill,"director,","the jenner institute, university of oxford"
bmj-156-0,adam lake,physician,lancaster general/penn medicine
bmj-156-1,nazrul islam,quantitative research associate,university of cambridge
bmj-157-0,alice lichtenstein,gershoff professor,tufts university
bmj-157-1,wendy jones,freelance,no current affiliation
bmj-157-2,dariush mozaffarian,dean,friedman school of nutrition science & policy
bmj-157-4,grace m. egeland,prof & senior researcher,univ. of bergen & norwegian inst. of public health
bmj-157-5,andrew odegaard,assistant professor,"university of california, irvine"
bmj-157-6,jon deeks,professor of biostatistics,university of birmingham
bmj-158-1,colin d butler,honorary professor,australian national university
bmj-158-2,ilona kickbusch,director,"global health centre, graduate institute geneva"
bmj-158-3,peng bi,professor of public health medicine,"university of adelaide, australia"
bmj-159-0,shannon,volunteer patient reviewer,ehlers danlos society
bmj-159-1,jonatan salzer,"md, phd, neurologist",ume university
bmj-159-2,chris van weel,emeritus profressor of general practice,"radboud university medical center, institute of health sciences, department of primary and"
bmj-159-3,irwin nazareth,professor of primary care and population sciences,university college london
bmj-159-4,jose antonio lopez escamez,"otology & neurotology group cts495, department of otolaryngology","hospital virgen de las nieves, universidad de granada"
bmj-159-5,paulus rommer,associate professor of neurology,"medical university of vienna, department of neurology"
bmj-159-6,kevin kerber,neurologist,university of michigan
bmj-159-7,dinesh kumar sharma,assistant professor (retired),government medical college amritsar india
bmj-16-0,rafael perera,professor of medical statistics,university of oxford
bmj-16-1,jian kong,associate professor,massachusetts general hospital
bmj-161-0,alexandra martiniuk,associate professor (epidemiology),university of sydney
bmj-161-1,susan meffert,associate professor of psychiatry,university of california san francisco (ucsf)
bmj-161-2,valentina iemmi,research fellow,london school of economics and political science
bmj-161-3,dr. jill murphy,postdoctoral fellow,university of british columbia
bmj-161-4,dr prianka padmanathan,academic clinical fellow in psychiatry,university of bristol
bmj-161-5,oye gureje,professor,"university of ibadan, nigeria"
bmj-161-6,anna-clara hollander,post doc,"karolinska institutet, department of public health sciences"
bmj-162-0,jess dez-manglano,internal medicine clinician,hospital royo villanova
bmj-162-1,bernd arents,patient/patient advocate,dutch association for people with atopic dermatitis (vmce)
bmj-162-2,mximo bernabeu-wittel,"phd, md",hospital universitario virgen del roco
bmj-162-3,ruth cunningham,senior research fellow,university of otago
bmj-162-4,rachel denholm,senior research associate,"university of bristol, centre for academic primary care"
bmj-162-5,chris salisbury,professor of primary health care,university of bristol
bmj-162-6,gary collins,professor of medical statistics,university of oxford
bmj-163-0,michele curatolo,professor,university of washington
bmj-163-1,nadine foster,nihr professor of musculoskeletal health in primary care,keele university
bmj-163-2,bart koes,professor of general practice,erasmus mc
bmj-163-3,baogan peng,"spinal surgeon, professor, director","the third medical center of pla general hospital, beijing, china"
bmj-164-0,michele curatolo,professor,university of washington
bmj-164-1,nadine foster,nihr professor of musculoskeletal health in primary care,keele university
bmj-164-2,bart koes,professor of general practice,erasmus mc
bmj-164-3,baogan peng,"spinal surgeon, professor, director","the third medical center of pla general hospital, beijing, china"
bmj-165-0,catherine,professor of medicine,university of washington school of medicine
bmj-165-1,gretchen becker,freelance editor,self-employed
bmj-165-2,gilbert thompson,emeritus professor,imperial college london
bmj-165-3,john sahl andersen,"associate professor, gp, phd","center for research and education in general practice, university of"
bmj-165-4,"beatrice a. golomb, md, phd",professor of medicine,"university of california, san diego"
bmj-166-0,joshua zadro,postdoctoral researcher,the university of sydney
bmj-166-1,martin scherer,professor,"department of general practice, university of hamburg"
bmj-166-2,joshua zadro,postdoctoral researcher,the university of sydney
bmj-166-3,martin scherer,professor,"department of general practice, university of hamburg"
bmj-167-0,mark manary,professor,washington university school of med
bmj-167-1,stephen allen,prof paediatrics,liverpool school of tropical medicine
bmj-167-2,haroon saloojee,"head, division of community paediatrics",university of the witwatersrand
bmj-167-3,susan roberts,professor of nutrition,tufts university
bmj-167-4,tim cole,professor of medical statistics,ucl great ormond street institute of child health
bmj-169-0,joshua sharfstein,professor of the practice,johns hopkins bloomberg school of public health
bmj-169-1,nabarun dasgupta,epidemiologist,university of north carolina at chapel hill
bmj-169-2,john a. lloyd,consumer reviewer,consumer
bmj-169-3,brian lund,core investigator,iowa city va healthcare system
bmj-169-4,rafael perera,professor of medical statistics,university of oxford
bmj-17-0,shurong lu,senior epidemiologist,jiangsu province cdc
bmj-17-1,sami rsnen,professor in psychiatry,"university of oulu, faculty of medicine, research unit of clinical neuroscience,"
bmj-17-2,dr antonis kousoulis,director,mental health foundation
bmj-170-0,ana langer,professor,harvard t. h. chan school of public health
bmj-170-1,fernanda ewerling,postdoctorate researcher,international center for equity in health
bmj-170-2,faisal abbas,experienced research fellow,department of economics george august university goettingen germany
bmj-171-0,matthew w. gillman,"director, nih echo program",us national institutes of health
bmj-171-1,nathalie auger,md,university of montreal/mcgill
bmj-171-2,richard riley,professor of biostatistics,keele university
bmj-172-1,margaret kruk,associate professor,harvard th chan school of public health
bmj-172-2,rebecca katz,professor,georgetown university
bmj-173-0,steven bell,epidemiologist,university of cambridge
bmj-173-1,niamh fitzgerald,association professor in alcohol studies,"institute for social marketing, university of stirling"
bmj-177-0,paul j. rosch,clinical professor of medicine and psychiatry,new york medical college
bmj-177-1,mats lekander,professor,"department of clinical neuroscience, karolinska institute"
bmj-178-0,suzanne bartington,clinical research fellow,university of birmingham
bmj-178-1,ka hung chan,early career research fellow,nuffield department of population health
bmj-178-2,giulia cesaroni,senior epidemiologist,"department of epidemiology regional health service, asl roma 1"
bmj-179-0,vincius ynoe de moraes,"orthopaedic surgeon, phd",federal university of so paulo
bmj-179-1,robert-jan de vos,sports physician and scientific researcher,erasmus mc university medical centre
bmj-179-2,jon karlsson,professor,"institute of clinical sciences, gothenburg university, gotenhburg, sweden"
bmj-179-3,julie morris,honorary reader in medical statistics,university of manchester
bmj-18-0,baris ata,professor of obstetrics and gynecology,koc university school of medicine
bmj-18-1,abey eapen,clinical assistant professor,1976
bmj-18-2,julia medew,media and communications consultant,self employed
bmj-18-3,gary collins,professor of medical statistics,university of oxford
bmj-180-0,bill swan,lead agitator,faces of pharmacare
bmj-180-1,simon collins,advocate,hiv i-base
bmj-180-2,anum fasih,associate consultant,the indus hospital
bmj-180-3,dominique hamerlijnck,"patient/consumer experience expert, tobacco control expert","dutch lung foundation, eupati fellow"
bmj-180-4,franois houez,director of treatment information and access,european organisation for rare diseases
bmj-180-5,"sarah m. bernstein, md",physician - neonatal-perinatal medicine fellow,duke university medical center
bmj-180-6,judith taylor,director and secretary,thyroid cancer alliance (patient organisation)
bmj-180-7,barbara lewis,founder,joan's family bill of rights
bmj-181-0,pia hardelid,associate professor,ucl great ormond street institute of child health
bmj-181-1,katie harron,associate professor,ucl
bmj-181-2,david cromwell,professor of health services research,london school of hygiene & tropical medicine
bmj-182-0,angie wade,x,institute of child health
bmj-182-1,eske kvanner aasvang,ass. prof. of anaesthesia,copenhagen university
bmj-183-0,adrian barnett,statistician,queensland university of technology
bmj-183-1,eric sun,assistant professor,stanford university
bmj-183-2,stylianos serghiou,phd student,stanford university
bmj-183-3,kellia chiu,phd candidate,the university of sydney
bmj-185-0,ye (julia) zhu,"research fellow, health services research","robert d. and patricia e. kern center for health care delivery, mayo clinic,"
bmj-185-1,karen joynt maddox,assistant professor,washington university
bmj-185-3,rishi wadhera,cardiologist,"beth israel deaconess medical center, harvard medical school"
bmj-185-4,jason wasfy,assistant professor,harvard medical school
bmj-185-5,yoryos (georgios) lyratzopoulos,professor of cancer healthcare epidemiology,university college london (ucl)
bmj-186-0,ben willem mol,professor obstetrics and gynaecology,monash university
bmj-186-1,philippa middleton,principal research fellow,south australian health and medical research institute
bmj-186-2,sarah stock,wellcome trust clinical career development fellow,university of edinburgh
bmj-186-3,william grobman,professor,northwestern university
bmj-187-0,jaana halonen,reserach programme director,national institute for health and welfare
bmj-187-1,hui liu,associate professor,"medical informatics center, peking university"
bmj-190-0,janet beach,none,none
bmj-190-1,thomas a. marciniak,public health advocate,"thomas a. marciniak, md"
bmj-190-2,kelly rawlings,head of content development,vida health
bmj-190-3,donald w. light,professor,rowan university school of osteopathic medicine
bmj-192-0,john pucher,professor emeritus,"rutgers university, new jersey, usa"
bmj-192-1,mariana arcaya,associate professor,massachusetts institute of technology
bmj-192-2,"anne lusk, ph.d.",research scientists,harvard chan school of public health
bmj-192-3,oliver mytton,nihr clinical lecturer - public health,university of cambridge
